date,vpoc,value_area_low,value_area_high,value_area_width,total_volume
2024-12-12,6149.5,6141.25,6150.75,9.5,26721
2024-12-13,6145.0,6118.0,6152.0,34.0,147368
2024-12-16,6145.0,6142.25,6154.25,12.0,279805
2024-12-17,6119.25,6118.0,6132.0,14.0,418234
2024-12-18,6132.25,6120.25,6146.75,26.5,340367
2024-12-19,5965.5,5962.0,5992.25,30.25,775044
2024-12-20,5905.25,5882.25,5978.75,96.5,785149
2024-12-23,5980.0,5977.0,6006.75,29.75,492300
2024-12-24,6069.75,6042.0,6079.75,37.75,257404
2024-12-26,6082.75,6077.0,6085.75,8.75,316398
2024-12-27,6051.25,6002.75,6074.0,71.25,569569
2024-12-30,5933.5,5922.25,5955.75,33.5,620077
2024-12-31,5973.0,5961.0,5976.5,15.5,349921
2025-01-02,5944.5,5938.75,5982.5,43.75,610475
2025-01-03,5950.0,5943.5,5964.0,20.5,453294
2025-01-06,6055.5,6030.75,6060.5,29.75,559237
2025-01-07,6037.25,5975.0,6040.0,65.0,631604
2025-01-08,5947.0,5932.25,5951.75,19.5,676160
2025-01-09,5949.5,5939.0,5955.0,16.0,56512
2025-01-10,5889.25,5856.0,5916.25,60.25,856241
2025-01-13,5829.0,5816.0,5841.25,25.25,626487
2025-01-14,5897.0,5882.75,5905.25,22.5,583590
2025-01-15,5979.0,5963.0,5986.75,23.75,717040
2025-01-16,5984.5,5980.0,6000.5,20.5,565359
2025-01-17,6024.5,6018.5,6032.25,13.75,579180
2025-01-20,6057.0,6026.5,6073.75,47.25,163125
2025-01-21,6056.5,6053.75,6063.25,9.5,528857
2025-01-22,6123.75,6112.5,6126.75,14.25,416025
2025-01-23,6115.5,6112.5,6118.25,5.75,306862
2025-01-24,6148.5,6146.0,6156.75,10.75,363241
2025-01-27,6032.75,5985.0,6045.5,60.5,913519
2025-01-28,6075.5,6035.25,6078.25,43.0,545847
2025-01-29,6082.25,6077.75,6086.75,9.0,351290
2025-01-30,6084.5,6074.75,6107.75,33.0,490244
2025-01-31,6125.5,6121.25,6143.0,21.75,376585
2025-02-03,5973.0,5957.0,6027.0,70.0,937818
2025-02-04,6052.25,6019.75,6056.0,36.25,418706
2025-02-05,6049.25,6035.25,6054.0,18.75,416584
2025-02-06,6099.25,6091.0,6102.25,11.25,386182
2025-02-07,6092.5,6082.0,6121.5,39.5,568884
2025-02-10,6085.0,6070.0,6090.0,20.0,333023
2025-02-11,6073.25,6062.75,6089.75,27.0,319166
2025-02-12,6032.0,6024.5,6063.75,39.25,663343
2025-02-13,6082.75,6068.5,6111.25,42.75,522230
2025-02-14,6139.5,6133.5,6141.75,8.25,331306
2025-02-17,6145.0,6137.5,6145.75,8.25,37260
2025-02-18,6132.75,6130.25,6142.0,11.75,368389
2025-02-19,6134.0,6131.25,6139.0,7.75,331191
2025-02-20,6145.25,6107.75,6149.25,41.5,542467
2025-02-21,6095.25,6092.5,6141.25,48.75,513154
2025-02-24,6009.5,5998.75,6062.0,63.25,657174
2025-02-25,5948.5,5937.5,6006.25,68.75,792603
2025-02-26,6013.75,5980.0,6018.0,38.0,543194
2025-02-27,5979.0,5946.75,6007.25,60.5,900438
