20241212 072200;6152;6152;6152;6152;5
20241212 072300;6152.25;6152.25;6152;6152;5
20241212 072400;6152;6152;6152;6152;14
20241212 072500;6152;6152;6152;6152;4
20241212 072600;6151.75;6152;6151.75;6152;9
20241212 072700;6151.75;6151.75;6151.75;6151.75;4
20241212 072800;6151.75;6152;6151.75;6151.75;11
20241212 072900;6151.75;6151.75;6151.5;6151.5;6
20241212 073200;6151.5;6151.5;6151.5;6151.5;1
20241212 073300;6151.75;6151.75;6151.75;6151.75;1
20241212 073400;6151.75;6151.75;6151.75;6151.75;1
20241212 073500;6151.75;6151.75;6151.75;6151.75;10
20241212 073600;6151.75;6151.75;6151.75;6151.75;8
20241212 073700;6151.75;6151.75;6151.5;6151.75;24
20241212 073800;6151.75;6151.75;6151.75;6151.75;3
20241212 074000;6151.5;6151.5;6151.5;6151.5;16
20241212 074200;6151.5;6151.5;6151.25;6151.25;11
20241212 074300;6151.25;6151.5;6151;6151;8
20241212 074400;6150.75;6150.75;6150.75;6150.75;2
20241212 074500;6150.75;6150.75;6150.75;6150.75;7
20241212 074600;6150.5;6150.5;6150.5;6150.5;3
20241212 074700;6150.75;6150.75;6150.5;6150.5;3
20241212 074800;6150.75;6150.75;6150.75;6150.75;4
20241212 074900;6150.5;6150.75;6150.25;6150.75;26
20241212 075000;6151;6151.25;6151;6151.25;4
20241212 075200;6151.25;6151.25;6151.25;6151.25;21
20241212 075300;6151;6151;6150.5;6150.5;17
20241212 075400;6150.25;6150.25;6150;6150;12
20241212 075500;6150.25;6150.25;6150.25;6150.25;1
20241212 075600;6150;6150;6149.75;6149.75;12
20241212 075700;6149.5;6149.75;6149.5;6149.75;4
20241212 075800;6150.25;6150.5;6150.25;6150.25;6
20241212 075900;6150.25;6150.25;6150;6150.25;11
20241212 080000;6150.5;6150.5;6150.25;6150.25;10
20241212 080100;6150.25;6152;6150.25;6152;33
20241212 080200;6152.25;6152.5;6151.75;6152.25;34
20241212 080300;6152.25;6152.25;6152;6152.25;9
20241212 080400;6152.25;6152.75;6152.25;6152.5;24
20241212 080500;6152.5;6152.75;6152.25;6152.5;11
20241212 080600;6152.5;6152.5;6151.5;6151.5;19
20241212 080700;6151.75;6151.75;6151.5;6151.5;27
20241212 080800;6151.75;6151.75;6151.25;6151.75;7
20241212 080900;6151.75;6152.25;6151.75;6151.75;17
20241212 081000;6151.75;6151.75;6151.5;6151.75;14
20241212 081100;6151.5;6151.5;6151.25;6151.5;10
20241212 081200;6151.5;6151.5;6151.5;6151.5;3
20241212 081300;6151.5;6151.75;6151.5;6151.75;5
20241212 081500;6151.25;6151.25;6151.25;6151.25;2
20241212 081600;6151.25;6151.25;6151.25;6151.25;13
20241212 081700;6151.25;6151.5;6151.25;6151.5;8
20241212 081800;6151.25;6151.5;6151.25;6151.5;4
20241212 081900;6151.75;6151.75;6151.75;6151.75;1
20241212 082000;6152;6152;6151.5;6151.5;13
20241212 082100;6151.5;6151.5;6151.25;6151.25;6
20241212 082200;6151.75;6151.75;6151.25;6151.5;14
