date,vpoc,value_area_low,value_area_high,value_area_width,total_volume
2022-06-09,4104.25,4090.25,4117.0,26.75,128194
2022-06-10,3909.5,3901.5,3955.0,53.5,635587
2022-06-13,3801.0,3759.5,3815.5,56.0,923675
2022-06-14,3748.5,3742.25,3771.75,29.5,902789
2022-06-15,3774.5,3767.25,3791.5,24.25,618288
2022-06-16,3688.75,3664.75,3710.0,45.25,934371
2022-06-17,3674.5,3648.25,3706.75,58.5,964852
2022-06-20,3704.75,3700.0,3710.5,10.5,88615
2022-06-21,3766.5,3733.0,3779.25,46.25,552705
2022-06-22,3785.0,3708.75,3793.25,84.5,772049
2022-06-23,3786.25,3775.0,3791.75,16.75,689206
2022-06-24,3881.5,3826.25,3889.5,63.25,663675
2022-06-27,3903.75,3899.75,3928.25,28.5,651094
2022-06-28,3921.5,3863.25,3947.0,83.75,719591
2022-06-29,3832.25,3815.5,3834.5,19.0,823692
2022-06-30,3777.75,3746.5,3780.5,34.0,926333
2022-07-01,3783.25,3762.5,3808.25,45.75,814030
2022-07-04,3815.75,3807.75,3819.0,11.25,54333
2022-07-05,3756.25,3747.75,3776.75,29.0,882337
2022-07-06,3831.25,3818.0,3838.25,20.25,711446
2022-07-07,3889.0,3879.0,3893.75,14.75,555061
2022-07-08,3887.5,3875.25,3918.25,43.0,698167
2022-07-11,3858.0,3854.75,3866.0,11.25,688328
2022-07-12,3856.25,3843.5,3863.75,20.25,723366
2022-07-13,3778.5,3763.25,3811.5,48.25,1172626
2022-07-14,3753.5,3727.5,3756.0,28.5,930983
2022-07-15,3843.5,3827.25,3862.0,34.75,794398
2022-07-18,3893.0,3890.0,3901.5,11.5,520793
2022-07-19,3875.25,3869.5,3910.0,40.5,711300
2022-07-20,3967.75,3928.0,3972.0,44.0,715202
2022-07-21,3956.25,3944.5,3970.0,25.5,882685
2022-07-22,3996.5,3989.25,4006.75,17.5,803653
2022-07-25,3966.75,3957.0,3973.25,16.25,685033
2022-07-26,3948.75,3925.75,3953.0,27.25,730503
2022-07-27,3969.75,3957.75,3979.5,21.75,566964
2022-07-28,4011.0,3998.0,4054.75,56.75,1004933
2022-07-29,4103.75,4086.0,4117.75,31.75,838036
2022-08-01,4139.25,4104.0,4144.75,40.75,801228
2022-08-02,4096.25,4091.0,4121.5,30.5,853073
2022-08-03,4123.0,4116.0,4137.25,21.25,727330
2022-08-04,4151.0,4145.5,4160.0,14.5,644880
2022-08-05,4120.75,4108.0,4151.5,43.5,896957
2022-08-08,4180.5,4165.0,4185.75,20.75,756284
2022-08-09,4128.0,4121.75,4134.0,12.25,582308
2022-08-10,4195.0,4187.25,4206.0,18.75,844838
2022-08-11,4233.25,4227.5,4254.0,26.5,764471
2022-08-12,4230.25,4228.5,4247.0,18.5,582595
2022-08-15,4269.25,4262.0,4279.5,17.5,653766
2022-08-16,4288.25,4284.75,4295.75,11.0,570851
2022-08-17,4274.0,4266.0,4277.75,11.75,696875
2022-08-18,4270.5,4268.0,4287.25,19.25,595594
2022-08-19,4239.25,4227.75,4259.5,31.75,804332
2022-08-22,4160.25,4155.0,4181.5,26.5,719937
2022-08-23,4138.75,4135.5,4151.25,15.75,779742
2022-08-24,4139.75,4126.75,4151.75,25.0,615615
2022-08-25,4163.75,4150.5,4183.75,33.25,736806
2022-08-26,4118.0,4113.0,4202.0,89.0,1025232
2022-08-29,4027.5,4020.75,4039.75,19.0,897024
2022-08-30,3991.5,3977.5,4044.25,66.75,1214599
2022-08-31,3991.5,3980.0,4001.25,21.25,1000954
2022-09-01,3927.25,3906.25,3933.25,27.0,997159
2022-09-02,4014.5,3984.0,4016.5,32.5,992803
2022-09-05,3935.0,3922.5,3937.0,14.5,80726
2022-09-06,3934.5,3892.5,3940.0,47.5,968249
2022-09-07,3922.5,3905.5,3945.75,40.25,807089
2022-09-08,4005.5,3946.25,4008.75,62.5,958366
2022-09-09,4036.5,4033.25,4060.5,27.25,559119
