date,vpoc,value_area_low,value_area_high,value_area_width,total_volume
2024-09-12,5627.75,5609.0,5631.75,22.75,58623
2024-09-13,5689.5,5672.0,5693.5,21.5,121856
2024-09-16,5681.0,5676.75,5697.0,20.25,312424
2024-09-17,5722.5,5718.0,5731.0,13.0,468443
2024-09-18,5699.0,5692.75,5708.5,15.75,365575
2024-09-19,5771.25,5765.25,5778.0,12.75,708727
2024-09-20,5754.5,5741.75,5764.75,23.0,696743
2024-09-23,5771.5,5769.0,5780.5,11.5,465465
2024-09-24,5778.25,5759.75,5786.5,26.75,573496
2024-09-25,5790.5,5788.5,5796.5,8.0,420701
2024-09-26,5815.25,5790.5,5827.0,36.5,655963
2024-09-27,5811.25,5807.25,5816.5,9.25,488100
2024-09-30,5789.5,5781.5,5792.0,10.5,412498
2024-10-01,5750.75,5735.75,5775.25,39.5,918686
2024-10-02,5744.25,5742.0,5770.25,28.25,654203
2024-10-03,5744.75,5740.25,5758.5,18.25,674145
2024-10-04,5762.5,5754.0,5792.0,38.0,784746
2024-10-07,5781.0,5778.25,5785.0,6.75,423711
2024-10-08,5766.75,5764.75,5790.0,25.25,482051
2024-10-09,5797.25,5795.25,5838.75,43.5,446049
2024-10-10,5826.0,5820.75,5831.75,11.0,472463
2024-10-11,5860.0,5823.25,5864.25,41.0,464074
2024-10-14,5895.5,5869.5,5902.75,33.25,385945
2024-10-15,5885.25,5882.75,5913.0,30.25,587339
2024-10-16,5866.25,5854.5,5869.5,15.0,415498
2024-10-17,5895.5,5893.5,5911.5,18.0,577166
2024-10-18,5901.0,5893.5,5901.5,8.0,407359
2024-10-21,5901.0,5867.0,5904.5,37.5,527380
2024-10-22,5870.0,5866.75,5880.25,13.5,459219
2024-10-23,5871.0,5848.5,5873.0,24.5,538290
2024-10-24,5848.25,5842.0,5865.75,23.75,501686
2024-10-25,5891.75,5872.75,5898.5,25.75,524159
2024-10-28,5872.25,5869.0,5878.25,9.25,435584
2024-10-29,5866.5,5848.25,5868.5,20.25,528660
2024-10-30,5879.5,5862.5,5884.5,22.0,572671
2024-10-31,5761.5,5753.0,5815.0,62.0,797885
2024-11-01,5795.5,5760.0,5799.0,39.0,720771
2024-11-04,5760.25,5755.25,5768.0,12.75,404875
2024-11-05,5787.25,5750.5,5794.25,43.75,388035
2024-11-06,5932.75,5909.5,5942.0,32.5,728674
2024-11-07,5989.0,5969.25,5995.0,25.75,382479
2024-11-08,6009.0,5999.0,6020.5,21.5,371345
2024-11-11,6042.5,6032.5,6044.25,11.75,361680
2024-11-12,6024.25,6020.5,6033.25,12.75,381841
2024-11-13,6015.25,6002.25,6017.75,15.5,498020
2024-11-14,6004.75,6001.0,6019.25,18.25,489025
2024-11-15,5907.0,5902.75,5945.75,43.0,700013
2024-11-18,5894.0,5892.25,5920.0,27.75,443481
2024-11-19,5889.25,5877.75,5914.0,36.25,669450
2024-11-20,5892.0,5887.0,5945.75,58.75,547812
2024-11-21,5924.25,5913.0,5968.25,55.25,797814
2024-11-22,5975.5,5965.5,5989.25,23.75,573671
2024-11-25,6015.5,6011.5,6036.25,24.75,628637
2024-11-26,6020.5,6016.75,6023.75,7.0,453481
2024-11-27,6031.0,6021.5,6035.5,14.0,392465
2024-11-28,6024.75,6022.75,6030.5,7.75,44995
2024-11-29,6041.5,6020.75,6044.0,23.25,290581
2024-12-02,6056.25,6052.5,6059.75,7.25,345973
2024-12-03,6058.5,6049.25,6060.0,10.75,310931
2024-12-04,6080.0,6078.75,6084.25,5.5,350731
2024-12-05,6098.25,6092.5,6100.25,7.75,312052
2024-12-06,6107.25,6094.5,6109.5,15.0,368746
2024-12-09,6093.0,6072.25,6097.5,25.25,410342
2024-12-10,6070.75,6062.0,6072.75,10.75,369278
2024-12-11,6084.75,6051.5,6088.25,36.75,450868
2024-12-12,6076.75,6074.0,6083.0,9.0,485573
2024-12-13,6075.25,6049.5,6084.0,34.5,448779
