date,vpoc,value_area_low,value_area_high,value_area_width,total_volume
2021-12-06,4557.5,4530.5,4578.0,47.5,16072
2021-12-07,4644.0,4635.75,4681.75,46.0,13326
2021-12-08,4680.75,4671.75,4684.25,12.5,50787
2021-12-09,4678.75,4674.5,4684.0,9.5,80103
2021-12-10,4691.25,4673.75,4694.0,20.25,407205
2021-12-13,4683.0,4670.0,4712.0,42.0,524024
2021-12-14,4629.5,4626.25,4648.25,22.0,631972
2021-12-15,4613.25,4610.0,4630.0,20.0,420868
2021-12-16,4711.5,4697.5,4723.25,25.75,668413
2021-12-17,4624.25,4593.5,4645.0,51.5,957432
2021-12-20,4549.5,4534.75,4554.75,20.0,788525
2021-12-21,4584.25,4577.25,4602.75,25.5,535219
2021-12-22,4642.5,4635.5,4670.5,35.0,436474
2021-12-23,4711.5,4697.0,4717.25,20.25,371634
2021-12-27,4740.25,4730.5,4758.25,27.75,297902
2021-12-28,4787.5,4785.0,4795.5,10.5,341668
2021-12-29,4784.0,4776.0,4786.75,10.75,346506
2021-12-30,4791.75,4790.0,4798.25,8.25,242188
2021-12-31,4768.25,4762.5,4771.0,8.5,263999
2022-01-03,4770.5,4757.25,4783.75,26.5,548062
2022-01-04,4801.0,4798.0,4806.25,8.25,502275
2022-01-05,4779.75,4777.25,4783.25,6.0,425614
2022-01-06,4693.75,4673.0,4707.0,34.0,748869
2022-01-07,4680.5,4675.0,4696.5,21.5,653978
2022-01-09,4667.5,4667.5,4667.5,0.0,1
2022-01-10,4585.5,4577.0,4639.75,62.75,798326
2022-01-11,4648.5,4631.5,4652.5,21.0,708188
2022-01-12,4725.25,4709.0,4736.5,27.5,626601
2022-01-13,4728.5,4712.0,4732.25,20.25,497067
2022-01-14,4633.75,4617.75,4646.75,29.0,766591
2022-01-17,4662.75,4655.5,4664.0,8.5,62197
2022-01-18,4587.25,4581.5,4606.75,25.25,726493
2022-01-19,4590.0,4565.25,4600.5,35.25,667975
2022-01-20,4546.25,4539.75,4582.25,42.5,590209
2022-01-21,4453.5,4425.0,4473.0,48.0,1043199
2022-01-24,4302.75,4271.25,4375.25,104.0,1211740
2022-01-25,4335.5,4283.75,4345.0,61.25,822842
2022-01-26,4414.0,4392.5,4419.5,27.0,636444
2022-01-27,4382.25,4345.0,4417.0,72.0,726780
2022-01-28,4306.5,4286.5,4326.25,39.75,754991
2022-01-30,4419.75,4419.75,4419.75,0.0,6
2022-01-31,4451.75,4405.75,4457.25,51.5,572822
2022-02-01,4494.25,4487.75,4510.75,23.0,618773
2022-02-02,4559.5,4547.25,4563.5,16.25,583901
2022-02-03,4515.0,4509.25,4529.5,20.25,623532
2022-02-04,4469.75,4451.5,4484.0,32.5,786976
2022-02-07,4500.5,4493.0,4504.75,11.75,462017
2022-02-08,4471.25,4465.75,4476.5,10.75,477562
2022-02-09,4563.75,4555.0,4570.0,15.0,441283
2022-02-10,4568.0,4517.25,4578.5,61.25,802668
2022-02-11,4503.75,4492.5,4507.75,15.25,587711
2022-02-14,4404.5,4381.25,4414.5,33.25,735912
2022-02-15,4447.25,4443.25,4460.0,16.75,530345
2022-02-16,4435.0,4429.5,4461.5,32.0,477305
2022-02-17,4407.0,4403.25,4448.5,45.25,547866
2022-02-18,4374.75,4362.75,4385.5,22.75,536334
2022-02-21,4317.25,4307.5,4345.5,38.0,195997
2022-02-22,4345.25,4325.25,4349.0,23.75,621626
2022-02-23,4328.0,4284.0,4335.5,51.5,519335
2022-02-24,4150.5,4111.0,4167.25,56.25,926823
2022-02-25,4306.0,4254.5,4337.25,82.75,699914
2022-02-28,4335.25,4321.5,4344.75,23.25,612841
2022-03-01,4353.75,4331.25,4359.25,28.0,598525
2022-03-02,4324.5,4319.0,4348.5,29.5,616590
2022-03-03,4379.0,4360.5,4414.0,53.5,514121
2022-03-04,4322.5,4291.5,4326.75,35.25,565420
2022-03-07,4265.75,4255.25,4320.0,64.75,574528
2022-03-08,4203.5,4162.5,4213.0,50.5,690377
2022-03-09,4259.25,4240.5,4264.5,24.0,598383
